timestamp;user;triggeredAction;selectedValues;filteredValues;Ethnicity.Ethnicity[categorical];Region.Region[categorical];NewHiresAndNewHiresSamePeriodLastYear.NewHires[numerical];NewHiresAndNewHiresSamePeriodLastYear.Month[categorical];NewHiresAndNewHiresSamePeriodLastYear.NewHiresSPLY[numerical];NewHiresByMonth(Full-Time/Part-Time).Month[categorical];NewHiresByMonth(Full-Time/Part-Time).FPDesc[categorical];NewHiresByMonth(Full-Time/Part-Time).NewHires[numerical];NewHiresByEthnicity.NewHires[numerical];NewHiresByEthnicity.Ethnicity[categorical];NewHiresByRegion.NewHires[numerical];NewHiresByRegion.Region[categorical];Year.Year[categorical]
1654418089413;80100679-d99f-4cea-96e4-a957ac6be43f;Root;;;0,0,0,0,0,0,0;0,0,0,0,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;217,1259,240,1833,318,2567,404,2837,435,3638,357,3930,311,3706,386,4569,366,4502,396,5006,330,3966,151,1396;30313,8236,1999,1516,790,213,53;0,0,0,0,0,0,0,0,0,0,0,0,0,0;7306,6228,7764,3434,7095,7103,4190;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0
1654418092697;80100679-d99f-4cea-96e4-a957ac6be43f;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Apr selected;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical;0,0,0,0,0,0,0;0,0,0,0,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,0,0,0;404,2837;30313,8236,1999,1516,790,213,53;0,0,0,0,0,0,0,0,0,0,0,0,0,0;7306,6228,7764,3434,7095,7103,4190;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0
1654418094783;80100679-d99f-4cea-96e4-a957ac6be43f;New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group A selected;NewHiresByEthnicity.Ethnicitycategorical;;0,0,0,0,0,0,0;0,0,0,0,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;181,947,192,1365,263,1892,331,2038,359,2522,282,2588,237,2475,307,3153,289,3113,331,3407,269,2690,114,968;30313,8236,1999,1516,790,213,53;1,0,0,0,0,0,0,0,0,0,0,0,0,0;7306,6228,7764,3434,7095,7103,4190;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0
1654418096581;80100679-d99f-4cea-96e4-a957ac6be43f;Ethnicity (slicer) - Ethnicity: Group C selected;Ethnicity.Ethnicitycategorical, NewHiresByEthnicity.Ethnicitycategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical;0,0,1,0,0,0,0;0,0,0,0,0,0,0;69,93,119,155,171,166,228,218,235,256,201,88;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;69,93,119,155,171,166,228,218,235,256,201,88;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;0;1999;1,1,0,1,0,0,0,1,0,1,0,1,0,1;347,274,149,195,362,275,397;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0
1654418097543;80100679-d99f-4cea-96e4-a957ac6be43f;Region (slicer) - Region: Northwest selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByEthnicity.Ethnicitycategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,1,0,0,0,0;5,8,8,16,13,12,16,21,11,17,20,2;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;5,8,8,16,13,12,16,21,11,17,20,2;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;0;149;1,1,0,1,0,0,0,1,0,1,0,1,0,1;149;0,1,0,1,0,0,0,1,0,1,0,1,0,1;0,0,0,0,0,0,0
1654418098770;80100679-d99f-4cea-96e4-a957ac6be43f;New Hires by Region (clusteredBarChart) - Region: Northwest, Region: Northwest selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByRegion.Regioncategorical;NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,1,0,0,0,0;5,8,8,16,13,12,16,21,11,17,20,2;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;5,8,8,16,13,12,16,21,11,17,20,2;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,4,2,6,3,5,4,12,3,10,12,3,13,2,19,2,9,4,13,20,1,1;149;0,1,0,1,0,0,0,1,0,1,0,1,0,1;149;0,1,0,1,1,0,0,1,0,1,0,1,0,1;0,0,0,0,0,0,0
1654418102346;80100679-d99f-4cea-96e4-a957ac6be43f;Year (slicer) - Year: 2012 selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByRegion.Regioncategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,1,0,0,0,0;2,5,6,6,1,3,4,4,7,6,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,1,1,2,1,1,3,4,5,6;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,2,3,2,4,6,1,1,2,4,4,3,4,6,1;45;0,1,0,1,0,0,0,1,0,1,0,1,0,1;45;0,1,0,1,1,0,0,1,0,1,0,1,0,1;0,0,1,0,0,0,0
1654418102731;80100679-d99f-4cea-96e4-a957ac6be43f;Year (slicer) - Year: 2013 selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByRegion.Regioncategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,1,0,0,0,0;2,5,6,6,1,3,4,4,7,6,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,1,1,2,1,1,3,4,5,6;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,2,3,2,4,6,1,1,2,4,4,3,4,6,1;45;0,1,0,1,0,0,0,1,0,1,0,1,0,1;45;0,1,0,1,1,0,0,1,0,1,0,1,0,1;0,0,0,1,0,0,0
1654418104141;80100679-d99f-4cea-96e4-a957ac6be43f;New Hires by Month (Full-Time/Part-Time) (lineChart) - Month: Oct, FPDesc: Full-Time selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,1,0,0,0,0;2,5,6,6,1,3,4,4,7,6,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,1,1,2,1,1,3,4,5,6;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;1,0,0,0;2,2,3,2,4,6,1,1,2,4,4,3,4,6,1;45;0,1,0,1,0,0,0,1,0,1,0,1,0,1;45;0,1,0,1,0,0,0,1,0,1,0,1,0,1;0,0,0,1,0,0,0
1654418105670;80100679-d99f-4cea-96e4-a957ac6be43f;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Oct selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,1,0,0,0,0;2,5,6,6,1,3,4,4,7,6,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;1,1,1,2,1,1,3,4,5,6;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;3,4;45;0,1,0,1,0,0,0,1,0,1,0,1,0,1;45;0,1,0,1,0,0,0,1,0,1,0,1,0,1;0,0,0,1,0,0,0
