time;user;label;NewHiresByMonthAndFPDesc.Month;NewHiresByMonthAndFPDesc.FPDesc;NewHiresByMonthAndFPDesc.NewHires;NewHiresAndNewHiresSamePeriodLastYear.NewHires;NewHiresAndNewHiresSamePeriodLastYear.Month;NewHiresAndNewHiresSamePeriodLastYear.NewHiresSPLY;NewHiresByRegionAndEthnicity.Region;NewHiresByRegionAndEthnicity.VP;NewHiresByRegionAndEthnicity.Ethnicity;NewHiresByRegionAndEthnicity.NewHires;Region.Region;Ethnicity.Ethnicity
1653320661571;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;Root;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0;0,0,0,0,0,0,0
1653320682052;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;Region (slicer) - Region: Midwest selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.13966480446927373;0,1,0,0,0,0,0;0,0,0,0,0,0,0
1653320684055;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;Ethnicity (slicer) - Ethnicity: Group C selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.5416666666666666;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1,0,0,0,1,0,1,0,1,0,1;0.0223463687150838;0,1,0,0,0,0,0;0,0,1,0,0,0,0
1653320684722;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires by Region and Ethnicity (clusteredBarChart) - Region: Midwest, Ethnicity: Group C selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.5416666666666666;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,1,1,0,0,1,0,1,0,1,0,1,0,1;0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1,1,0,0,1,0,1,0,1,0,1;0.0223463687150838;0,1,0,0,0,0,0;0,0,1,0,0,0,0
1653320686891;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Nov selected;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,0,0,0;0.08333333333333333;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,1,0,0,0,0,0;0,0,1,0,0,0,0
1653320689242;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Jul selected;0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1;0,1,0,0;0.041666666666666664;1;0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,1,0,0,0,0,0;0,0,1,0,0,0,0
1653320689738;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires by Month and FPDesc (lineChart) - Month: Jul, FPDesc: Part-Time selected;0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0;0,0,1,0;0.5416666666666666;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,1,0,0,0,0,0;0,0,1,0,0,0,0
1653320692440;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires by Month and FPDesc (lineChart) - Month: Sep, FPDesc: Part-Time selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0;0,0,1,0;0.5416666666666666;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,1,0,0,0,0,0;0,0,1,0,0,0,0
1653320694883;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Oct selected;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,1,0,0;0.041666666666666664;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,1,0,0,0,0,0;0,0,1,0,0,0,0
1653320695793;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires by Region and Ethnicity (clusteredBarChart) - Ethnicity: Group C selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.5416666666666666;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1,1,0,0,1,0,1,0,1,0,1;0.0223463687150838;0,1,0,0,0,0,0;0,0,1,0,0,0,0
1653320696542;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires by Region and Ethnicity (clusteredBarChart) - Region: Midwest, Ethnicity: Group C selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.5416666666666666;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,1,1,0,0,1,0,1,0,1,0,1,0,1;0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1,1,0,0,1,0,1,0,1,0,1;0.0223463687150838;0,1,0,0,0,0,0;0,0,1,0,0,0,0
1653320697815;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;Region (slicer) - deselected;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.5416666666666666;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,1,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,1,0,1,1,0,0,1,0,1,0,1,0,1;0.1564245810055866;0,1,0,0,0,0,0;0,0,1,0,0,0,0
1653320699628;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;Ethnicity (slicer) - deselected;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.5416666666666666;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,1,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0,0,0,0,0;1;0,1,0,0,0,0,0;0,0,1,0,0,0,0
